,T_A_empirical,T_A_predicted,difference
34,1839.0,1863.6868,24.686767578125
35,1503.0,1517.0499,14.0499267578125
36,2010.0,2008.4734,1.526611328125
37,1073.0,1060.5165,12.4835205078125
38,328.0,339.24652,11.24652099609375
39,241.0,280.69855,39.69854736328125
40,262.0,282.99268,20.99267578125
41,261.0,289.50677,28.50677490234375
42,251.0,264.90314,13.90313720703125
43,268.0,267.95056,0.0494384765625
44,309.0,345.8089,36.80889892578125
45,338.0,335.38892,2.611083984375
46,461.0,441.69092,19.30908203125
47,270.0,314.29523,44.29522705078125
48,341.0,345.91806,4.918060302734375
49,314.0,312.29388,1.70611572265625
50,397.0,398.64612,1.6461181640625
51,321.0,312.6739,8.32611083984375
52,309.0,323.99564,14.995635986328125
53,421.0,427.02917,6.0291748046875
54,280.0,298.87427,18.874267578125
55,251.0,279.50793,28.5079345703125
56,286.0,298.9876,12.98760986328125
57,311.0,357.43182,46.43182373046875
58,250.0,247.33752,2.6624755859375
59,279.0,291.53363,12.53363037109375
60,290.0,273.75354,16.2464599609375
61,240.0,266.70093,26.700927734375
62,312.0,278.20386,33.796142578125
63,314.0,318.16846,4.16845703125
64,330.0,343.56396,13.56396484375
65,421.0,427.02924,6.02923583984375
66,498.0,550.04645,52.04644775390625
67,433.0,412.49478,20.505218505859375
68,1368.0,1379.9545,11.9544677734375
69,1214.0,1301.2708,87.270751953125
70,1287.0,1303.8688,16.8687744140625
71,1280.0,1308.27,28.27001953125
72,1390.0,1387.6445,2.35546875
73,1324.0,1273.0299,50.9700927734375
74,1557.0,1678.3044,121.304443359375
75,1384.0,1380.7893,3.210693359375
76,1738.0,1661.4966,76.50341796875
77,1242.0,1275.5225,33.5224609375
78,1549.0,1538.7551,10.244873046875
79,1300.0,1335.1865,35.1865234375
80,1144.0,1170.7826,26.7825927734375
81,1205.0,1209.6425,4.6424560546875
82,1400.0,1404.1113,4.111328125
83,1313.0,1334.1088,21.1087646484375
84,1472.0,1454.5889,17.4111328125
85,1160.0,1195.8556,35.8555908203125
86,1157.0,1169.8914,12.891357421875
87,1186.0,1202.6051,16.6051025390625
88,1506.0,1552.4767,46.4766845703125
89,1658.0,1666.6528,8.65283203125
90,1545.0,1567.2637,22.263671875
