,T_A_empirical,T_A_predicted,difference
34,1839.0,1786.5957,52.404296875
35,1503.0,1471.5825,31.41748046875
36,2010.0,2001.1531,8.846923828125
37,1073.0,1032.2732,40.726806640625
38,328.0,319.68362,8.316375732421875
39,241.0,256.8885,15.88848876953125
40,262.0,263.07532,1.0753173828125
41,261.0,272.15222,11.1522216796875
42,251.0,281.53662,30.53662109375
43,268.0,277.7597,9.75970458984375
44,309.0,321.84888,12.848876953125
45,338.0,309.07764,28.92236328125
46,461.0,396.53964,64.46035766601562
47,270.0,282.1859,12.1859130859375
48,341.0,314.03827,26.96173095703125
49,314.0,311.0027,2.997314453125
50,397.0,355.49792,41.5020751953125
51,321.0,284.48993,36.51007080078125
52,309.0,294.67126,14.3287353515625
53,421.0,423.29294,2.292938232421875
54,280.0,283.076,3.07598876953125
55,251.0,268.2738,17.2738037109375
56,286.0,281.50775,4.49224853515625
57,311.0,320.43887,9.438873291015625
58,250.0,219.91351,30.08648681640625
59,279.0,294.0832,15.08319091796875
60,290.0,285.05756,4.94244384765625
61,240.0,235.1781,4.8218994140625
62,312.0,252.53601,59.4639892578125
63,314.0,254.38702,59.61297607421875
64,330.0,316.49835,13.50164794921875
65,421.0,423.29288,2.292877197265625
66,498.0,567.8353,69.8353271484375
67,433.0,366.234,66.7659912109375
68,1368.0,1471.1631,103.1630859375
69,1214.0,1294.4209,80.4208984375
70,1287.0,1339.2106,52.2105712890625
71,1280.0,1315.9888,35.98876953125
72,1390.0,1264.436,125.56396484375
73,1324.0,1331.7046,7.70458984375
74,1557.0,1444.3674,112.632568359375
75,1384.0,1344.5845,39.41552734375
76,1738.0,1486.7513,251.2486572265625
77,1242.0,1342.948,100.947998046875
78,1549.0,1397.5435,151.45654296875
79,1300.0,1263.4061,36.5938720703125
80,1144.0,1185.937,41.93701171875
81,1205.0,1220.9028,15.90283203125
82,1400.0,1234.389,165.6109619140625
83,1313.0,1280.7428,32.2572021484375
84,1472.0,1389.0872,82.912841796875
85,1160.0,1233.9761,73.97607421875
86,1157.0,993.3803,163.61968994140625
87,1186.0,1286.6155,100.615478515625
88,1506.0,1579.8135,73.8134765625
89,1658.0,1642.95,15.050048828125
90,1545.0,1550.9003,5.9002685546875
