,T_A_empirical,T_A_predicted,difference
34,1839.0,1340.6646,498.33544921875
35,1503.0,634.8777,868.122314453125
36,2010.0,1361.4939,648.506103515625
37,1073.0,478.32043,594.6795654296875
38,328.0,859.32086,531.3208618164062
39,241.0,567.23865,326.2386474609375
40,262.0,343.68716,81.68716430664062
41,261.0,369.11386,108.11386108398438
42,251.0,381.073,130.072998046875
43,268.0,383.21252,115.2125244140625
44,309.0,630.6819,321.681884765625
45,338.0,809.64594,471.64593505859375
46,461.0,442.46222,18.53778076171875
47,270.0,333.01123,63.01123046875
48,341.0,505.26675,164.26675415039062
49,314.0,400.90323,86.90322875976562
50,397.0,623.18414,226.18414306640625
51,321.0,617.62476,296.624755859375
52,309.0,344.5303,35.530303955078125
53,421.0,379.96283,41.03717041015625
54,280.0,362.28925,82.28924560546875
55,251.0,415.06042,164.0604248046875
56,286.0,333.47586,47.475860595703125
57,311.0,363.96906,52.96905517578125
58,250.0,759.3954,509.3953857421875
59,279.0,583.1666,304.1666259765625
60,290.0,390.188,100.18798828125
61,240.0,343.39243,103.39242553710938
62,312.0,966.15686,654.1568603515625
63,314.0,1267.0094,953.0093994140625
64,330.0,399.2827,69.28271484375
65,421.0,379.9629,41.037109375
66,498.0,554.16565,56.1656494140625
67,433.0,347.62744,85.37255859375
68,1368.0,829.5318,538.4682006835938
69,1214.0,1280.4625,66.4625244140625
70,1287.0,1309.0878,22.0877685546875
71,1280.0,1339.5842,59.584228515625
72,1390.0,1258.9879,131.0120849609375
73,1324.0,1349.9822,25.982177734375
74,1557.0,1271.052,285.947998046875
75,1384.0,1260.8285,123.1715087890625
76,1738.0,1267.205,470.7950439453125
77,1242.0,1338.7009,96.700927734375
78,1549.0,1260.1384,288.861572265625
79,1300.0,1258.8485,41.1514892578125
80,1144.0,1350.8021,206.8021240234375
81,1205.0,1332.0232,127.023193359375
82,1400.0,1275.9059,124.0941162109375
83,1313.0,1267.9404,45.0595703125
84,1472.0,1258.4519,213.548095703125
85,1160.0,1338.7649,178.764892578125
86,1157.0,1258.6177,101.61767578125
87,1186.0,1359.2385,173.238525390625
88,1506.0,1322.9338,183.066162109375
89,1658.0,920.93365,737.0663452148438
90,1545.0,793.8371,751.1629028320312
