,T_A_empirical,T_A_predicted,difference
34,1839.0,1891.9718,52.9718017578125
35,1503.0,1521.7238,18.7237548828125
36,2010.0,1987.9508,22.0491943359375
37,1073.0,1039.8241,33.1759033203125
38,328.0,319.6822,8.31781005859375
39,241.0,287.2943,46.2943115234375
40,262.0,298.1457,36.14569091796875
41,261.0,301.2508,40.25079345703125
42,251.0,284.39618,33.39617919921875
43,268.0,289.2307,21.230712890625
44,309.0,337.1937,28.193695068359375
45,338.0,306.83698,31.16302490234375
46,461.0,413.68762,47.3123779296875
47,270.0,311.7417,41.74169921875
48,341.0,332.77676,8.223236083984375
49,314.0,305.35663,8.64337158203125
50,397.0,381.46237,15.537628173828125
51,321.0,278.52338,42.47662353515625
52,309.0,320.4015,11.4014892578125
53,421.0,444.7277,23.727691650390625
54,280.0,294.16968,14.169677734375
55,251.0,287.8235,36.823486328125
56,286.0,309.9121,23.912109375
57,311.0,349.65634,38.656341552734375
58,250.0,273.54578,23.5457763671875
59,279.0,292.40594,13.40594482421875
60,290.0,281.08685,8.91314697265625
61,240.0,264.83478,24.83477783203125
62,312.0,297.33575,14.66424560546875
63,314.0,331.12143,17.121429443359375
64,330.0,338.16953,8.169525146484375
65,421.0,444.72763,23.727630615234375
66,498.0,566.2256,68.2255859375
67,433.0,391.44614,41.553863525390625
68,1368.0,1388.4209,20.4208984375
69,1214.0,1275.9758,61.975830078125
70,1287.0,1307.5973,20.5972900390625
71,1280.0,1332.094,52.093994140625
72,1390.0,1396.0221,6.0220947265625
73,1324.0,1275.8242,48.17578125
74,1557.0,1665.0687,108.0687255859375
75,1384.0,1392.7026,8.70263671875
76,1738.0,1639.3728,98.627197265625
77,1242.0,1277.7306,35.7305908203125
78,1549.0,1573.3325,24.33251953125
79,1300.0,1328.1252,28.125244140625
80,1144.0,1183.4774,39.4774169921875
81,1205.0,1202.6044,2.3956298828125
82,1400.0,1428.2402,28.240234375
83,1313.0,1347.2451,34.2451171875
84,1472.0,1470.2874,1.712646484375
85,1160.0,1210.8069,50.806884765625
86,1157.0,1147.8275,9.1724853515625
87,1186.0,1224.9963,38.996337890625
88,1506.0,1476.2231,29.77685546875
89,1658.0,1686.7466,28.74658203125
90,1545.0,1565.812,20.81201171875
