,T_A_empirical,T_A_predicted,difference
34,1839.0,1828.1819,10.818115234375
35,1503.0,1551.9308,48.9307861328125
36,2010.0,1923.0627,86.937255859375
37,1073.0,905.5148,167.4852294921875
38,328.0,327.71008,0.2899169921875
39,241.0,257.53857,16.53857421875
40,262.0,282.22736,20.22735595703125
41,261.0,288.49963,27.4996337890625
42,251.0,248.89673,2.103271484375
43,268.0,258.9616,9.03839111328125
44,309.0,348.4807,39.480712890625
45,338.0,301.09448,36.905517578125
46,461.0,434.4163,26.583709716796875
47,270.0,310.4666,40.46661376953125
48,341.0,346.5406,5.54058837890625
49,314.0,278.3078,35.69219970703125
50,397.0,407.79352,10.79351806640625
51,321.0,237.62128,83.37872314453125
52,309.0,327.15082,18.15081787109375
53,421.0,437.65216,16.65216064453125
54,280.0,267.01575,12.9842529296875
55,251.0,256.47668,5.4766845703125
56,286.0,306.9604,20.96038818359375
57,311.0,380.6884,69.68838500976562
58,250.0,225.4154,24.5845947265625
59,279.0,268.5442,10.455810546875
60,290.0,243.82556,46.1744384765625
61,240.0,204.91852,35.08148193359375
62,312.0,280.28827,31.71173095703125
63,314.0,345.50357,31.503570556640625
64,330.0,357.87662,27.876617431640625
65,421.0,437.65216,16.65216064453125
66,498.0,557.6625,59.6624755859375
67,433.0,442.3702,9.370208740234375
68,1368.0,1414.8187,46.8187255859375
69,1214.0,1264.0012,50.001220703125
70,1287.0,1301.9465,14.946533203125
71,1280.0,1332.0391,52.0390625
72,1390.0,1370.1003,19.899658203125
73,1324.0,1271.2754,52.724609375
74,1557.0,1680.6254,123.6253662109375
75,1384.0,1373.3235,10.676513671875
76,1738.0,1628.7252,109.2747802734375
77,1242.0,1272.2777,30.2777099609375
78,1549.0,1540.3383,8.6617431640625
79,1300.0,1309.4846,9.484619140625
80,1144.0,1157.5249,13.52490234375
81,1205.0,1181.9995,23.00048828125
82,1400.0,1405.3552,5.355224609375
83,1313.0,1333.7651,20.76513671875
84,1472.0,1441.0544,30.945556640625
85,1160.0,1192.0277,32.0277099609375
86,1157.0,1137.7401,19.2598876953125
87,1186.0,1210.2054,24.2054443359375
88,1506.0,1465.9756,40.0244140625
89,1658.0,1643.4705,14.529541015625
90,1545.0,1560.1472,15.147216796875
