,T_A_empirical,T_A_predicted,difference
34,1839.0,1821.7139,17.2861328125
35,1503.0,1565.5642,62.564208984375
36,2010.0,1923.7487,86.2513427734375
37,1073.0,826.06995,246.9300537109375
38,328.0,322.52002,5.47998046875
39,241.0,264.789,23.78900146484375
40,262.0,283.555,21.55499267578125
41,261.0,291.41138,30.411376953125
42,251.0,262.09015,11.09014892578125
43,268.0,272.16534,4.16534423828125
44,309.0,352.93622,43.93621826171875
45,338.0,298.47357,39.52642822265625
46,461.0,430.57892,30.42108154296875
47,270.0,310.8584,40.8583984375
48,341.0,347.39798,6.397979736328125
49,314.0,300.63068,13.36932373046875
50,397.0,405.31125,8.311248779296875
51,321.0,245.87073,75.1292724609375
52,309.0,326.68756,17.68756103515625
53,421.0,439.9709,18.97088623046875
54,280.0,282.43585,2.43585205078125
55,251.0,268.99988,17.9998779296875
56,286.0,307.06873,21.0687255859375
57,311.0,372.6554,61.6553955078125
58,250.0,226.1466,23.8533935546875
59,279.0,275.86182,3.13818359375
60,290.0,248.52515,41.474853515625
61,240.0,208.25647,31.7435302734375
62,312.0,277.91797,34.08203125
63,314.0,324.3579,10.35791015625
64,330.0,355.6467,25.646697998046875
65,421.0,439.9709,18.97088623046875
66,498.0,529.279,31.27899169921875
67,433.0,425.7601,7.239898681640625
68,1368.0,1422.5627,54.562744140625
69,1214.0,1271.7937,57.793701171875
70,1287.0,1310.536,23.5360107421875
71,1280.0,1340.5128,60.5128173828125
72,1390.0,1376.4663,13.53369140625
73,1324.0,1280.1487,43.851318359375
74,1557.0,1663.5127,106.5126953125
75,1384.0,1379.5664,4.43359375
76,1738.0,1616.4553,121.544677734375
77,1242.0,1281.0089,39.0089111328125
78,1549.0,1535.7987,13.2012939453125
79,1300.0,1317.4114,17.411376953125
80,1144.0,1155.8258,11.8258056640625
81,1205.0,1184.0071,20.992919921875
82,1400.0,1410.156,10.156005859375
83,1313.0,1341.4253,28.42529296875
84,1472.0,1443.577,28.4229736328125
85,1160.0,1195.4734,35.473388671875
86,1157.0,1129.7401,27.2598876953125
87,1186.0,1216.0297,30.0296630859375
88,1506.0,1467.9108,38.0892333984375
89,1658.0,1639.0181,18.98193359375
90,1545.0,1559.6289,14.62890625
