,T_A_empirical,T_A_predicted,difference
34,1839.0,1838.1736,0.826416015625
35,1503.0,1505.0244,2.0244140625
36,2010.0,1932.1863,77.813720703125
37,1073.0,838.0535,234.94647216796875
38,328.0,311.4679,16.5321044921875
39,241.0,267.42926,26.42926025390625
40,262.0,280.08618,18.086181640625
41,261.0,288.52356,27.5235595703125
42,251.0,269.49542,18.49542236328125
43,268.0,278.852,10.85198974609375
44,309.0,352.39963,43.399627685546875
45,338.0,290.8368,47.1632080078125
46,461.0,435.8902,25.10980224609375
47,270.0,304.9201,34.92010498046875
48,341.0,342.42813,1.428131103515625
49,314.0,315.83105,1.8310546875
50,397.0,405.16687,8.1668701171875
51,321.0,251.42365,69.57635498046875
52,309.0,319.71875,10.71875
53,421.0,458.59964,37.599639892578125
54,280.0,290.5913,10.59130859375
55,251.0,275.3352,24.335205078125
56,286.0,301.0445,15.04449462890625
57,311.0,360.07,49.07000732421875
58,250.0,230.53448,19.46551513671875
59,279.0,277.54736,1.45263671875
60,290.0,251.42291,38.57708740234375
61,240.0,217.43103,22.5689697265625
62,312.0,272.48444,39.51556396484375
63,314.0,301.6314,12.36859130859375
64,330.0,347.9704,17.97039794921875
65,421.0,458.59964,37.599639892578125
66,498.0,537.62665,39.62664794921875
67,433.0,410.861,22.139007568359375
68,1368.0,1434.0015,66.00146484375
69,1214.0,1269.4161,55.4161376953125
70,1287.0,1314.895,27.89501953125
71,1280.0,1348.8977,68.897705078125
72,1390.0,1369.4778,20.522216796875
73,1324.0,1285.4685,38.531494140625
74,1557.0,1678.5803,121.580322265625
75,1384.0,1380.5117,3.48828125
76,1738.0,1628.4961,109.50390625
77,1242.0,1285.5502,43.5501708984375
78,1549.0,1544.8689,4.131103515625
79,1300.0,1309.4243,9.42431640625
80,1144.0,1152.358,8.3580322265625
81,1205.0,1180.8214,24.1785888671875
82,1400.0,1378.9702,21.02978515625
83,1313.0,1342.1609,29.160888671875
84,1472.0,1446.1698,25.8302001953125
85,1160.0,1193.8228,33.82275390625
86,1157.0,1101.3591,55.640869140625
87,1186.0,1218.0161,32.01611328125
88,1506.0,1482.301,23.698974609375
89,1658.0,1645.2732,12.726806640625
90,1545.0,1565.9955,20.9954833984375
