,T_A_empirical,T_A_predicted,difference
34,1839.0,1837.926,1.073974609375
35,1503.0,1546.8969,43.8968505859375
36,2010.0,1956.9891,53.0108642578125
37,1073.0,833.41736,239.5826416015625
38,328.0,335.42575,7.425750732421875
39,241.0,257.2959,16.2958984375
40,262.0,285.73187,23.73187255859375
41,261.0,292.48126,31.48126220703125
42,251.0,247.08685,3.91314697265625
43,268.0,258.66998,9.33001708984375
44,309.0,353.7064,44.706390380859375
45,338.0,306.91016,31.08984375
46,461.0,432.0225,28.977508544921875
47,270.0,316.41827,46.41827392578125
48,341.0,352.79373,11.793731689453125
49,314.0,279.50098,34.4990234375
50,397.0,409.59393,12.59393310546875
51,321.0,233.79504,87.2049560546875
52,309.0,333.83884,24.838836669921875
53,421.0,431.46185,10.46185302734375
54,280.0,267.62982,12.37017822265625
55,251.0,255.8584,4.8583984375
56,286.0,312.7636,26.76361083984375
57,311.0,387.8597,76.85971069335938
58,250.0,218.70099,31.29901123046875
59,279.0,269.87335,9.12664794921875
60,290.0,241.2439,48.756103515625
61,240.0,192.76135,47.2386474609375
62,312.0,283.92755,28.07244873046875
63,314.0,357.4088,43.4088134765625
64,330.0,364.57104,34.571044921875
65,421.0,431.4619,10.4619140625
66,498.0,534.8621,36.86212158203125
67,433.0,445.1972,12.19720458984375
68,1368.0,1416.9414,48.94140625
69,1214.0,1275.3274,61.327392578125
70,1287.0,1311.4728,24.4727783203125
71,1280.0,1339.7289,59.7288818359375
72,1390.0,1372.9637,17.0362548828125
73,1324.0,1282.0156,41.984375
74,1557.0,1648.8245,91.824462890625
75,1384.0,1377.009,6.990966796875
76,1738.0,1602.8223,135.177734375
77,1242.0,1283.0452,41.045166015625
78,1549.0,1525.9197,23.080322265625
79,1300.0,1318.1755,18.175537109375
80,1144.0,1165.109,21.1090087890625
81,1205.0,1191.9824,13.017578125
82,1400.0,1397.6023,2.397705078125
83,1313.0,1341.0576,28.0576171875
84,1472.0,1437.2952,34.704833984375
85,1160.0,1202.5283,42.5283203125
86,1157.0,1145.1843,11.815673828125
87,1186.0,1221.1733,35.17333984375
88,1506.0,1463.6802,42.31982421875
89,1658.0,1638.4558,19.544189453125
90,1545.0,1555.4824,10.482421875
