,T_A_empirical,T_A_predicted,difference
34,1839.0,1837.5322,1.4677734375
35,1503.0,1544.7502,41.750244140625
36,2010.0,1963.4097,46.59033203125
37,1073.0,838.9187,234.081298828125
38,328.0,333.81302,5.813018798828125
39,241.0,257.7704,16.7703857421875
40,262.0,285.2096,23.2095947265625
41,261.0,292.1836,31.18359375
42,251.0,248.37616,2.62384033203125
43,268.0,259.89233,8.107666015625
44,309.0,353.98856,44.988555908203125
45,338.0,305.70172,32.29827880859375
46,461.0,433.00357,27.996429443359375
47,270.0,315.72028,45.72027587890625
48,341.0,352.4413,11.441314697265625
49,314.0,281.59662,32.40338134765625
50,397.0,409.9374,12.937408447265625
51,321.0,234.57434,86.4256591796875
52,309.0,333.0698,24.069793701171875
53,421.0,433.5865,12.58648681640625
54,280.0,269.0681,10.931884765625
55,251.0,257.01465,6.0146484375
56,286.0,312.0121,26.0120849609375
57,311.0,386.34555,75.34555053710938
58,250.0,218.58636,31.41363525390625
59,279.0,270.28864,8.71136474609375
60,290.0,241.48602,48.51397705078125
61,240.0,193.27844,46.7215576171875
62,312.0,282.8296,29.17041015625
63,314.0,352.69168,38.691680908203125
64,330.0,363.8144,33.81439208984375
65,421.0,433.5865,12.58648681640625
66,498.0,536.72095,38.720947265625
67,433.0,443.51706,10.517059326171875
68,1368.0,1415.4641,47.464111328125
69,1214.0,1274.2886,60.28857421875
70,1287.0,1310.5203,23.520263671875
71,1280.0,1338.7133,58.7132568359375
72,1390.0,1371.8989,18.10107421875
73,1324.0,1281.5731,42.4268798828125
74,1557.0,1653.9473,96.947265625
75,1384.0,1375.606,8.39404296875
76,1738.0,1605.6658,132.334228515625
77,1242.0,1282.4998,40.499755859375
78,1549.0,1525.7847,23.21533203125
79,1300.0,1316.7812,16.78125
80,1144.0,1165.2805,21.280517578125
81,1205.0,1191.8303,13.169677734375
82,1400.0,1400.3428,0.3427734375
83,1313.0,1339.7,26.699951171875
84,1472.0,1436.2496,35.7503662109375
85,1160.0,1202.4286,42.4285888671875
86,1157.0,1142.877,14.123046875
87,1186.0,1221.2792,35.2791748046875
88,1506.0,1461.4751,44.52490234375
89,1658.0,1635.4647,22.5352783203125
90,1545.0,1552.4167,7.416748046875
